name,min megahertz,max megahertz,min megabytes,max megabytes,mem_level:portal2,min megatexels,max megatexels,gpu_mem_level:portal2,mat_triplebuffered:portal2,min_processor_count,max_processor_count,cpu_level:portal2,VendorID,MinDeviceID,MaxDeviceID,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,MakeMeLast,Laptop:base,MinDxLevel:base,MaxDxLevel:base,DxLevel:base,CentroidHack:base,NoUserClipPlanes:base,PreferZPrepass:base,DisableShaderOptimizations:base,SuppressPixelShaderCentroidHackFixup:base,PreferTexturesInHWMemory:base,PreferHardwareSync:base,Unsupported:portal2,DefaultRes:portal2,DefaultResHeight:portal2,gpu_level:portal2,mat_antialias:portal2,mat_forceaniso:portal2,mat_grain_scale_override:portal2,mat_tonemapping_occlusion_use_stencil:portal2,mat_vsync:portal2,videoconfig_version:portal2
90,,,,,,,,,,,,,,,,,,,,,,90,90,90,0,0,0,,,0,1,,800,600,0,,,1,0,1,
92,,,,,,,,,,,,,,,,,,,,,,90,92,92,0,0,0,,,0,1,,1024,768,1,,,1,0,1,
95,,,,,,,,,,,,,,,,,,,,,,90,95,95,0,0,0,,,0,1,,1024,768,2,,,1,0,1,
97,,,,,,,,,,,,,,,,,,,,,,97,97,97,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
98,,,,,,,,,,,,,,,,,,,,,,98,98,98,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
100,,,,,,,,,,,,,,,,,,,,,,92,100,100,0,0,0,,,0,1,,1600,1200,3,4,4,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [0-1024),,,0,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1024-1536),,,1200,1800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1536-),,,1800,65535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,,140,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,,300,530,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [512-infinity),,,,,,530,65535,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_level_0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_1,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level 2,,,,,,,,,,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Unknown,,,,,,,,,,,,,0x1002,0x0000,0xffff,,,,,1,,,,,1,,,,,,,,1280,1024,3,0,0,1,,,
ATI Mobility Radeon X600,,,,,,,,,,,,,0x1002,0x3150,0x3150,,,,,,1,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireMV 2400,,,,,,,,,,,,,0x1002,0x3151,0x3151,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon X300,,,,,,,,,,,,,0x1002,0x3152,0x3152,,,,,,1,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility FireGL V3200,,,,,,,,,,,,,0x1002,0x3154,0x3154,,,,,,1,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireMV 2400,,,,,,,,,,,,,0x1002,0x3171,0x3171,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X600,,,,,,,,,,,,,0x1002,0x3e50,0x3e50,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI FireGL V3200,,,,,,,,,,,,,0x1002,0x3e54,0x3e54,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X600,,,,,,,,,,,,,0x1002,0x3e70,0x3e70,,,,,,,,,,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon IGP 320,,,,,,,,,,,,,0x1002,0x4136,0x4136,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon IGP 340/RS200,,,,,,,,,,,,,0x1002,0x4137,0x4137,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9500/9700,,,,,,,,,,,,,0x1002,0x4144,0x4144,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
