name,min megahertz,max megahertz,min megabytes,max megabytes,mem_level:portal2,min megatexels,max megatexels,gpu_mem_level:portal2,mat_triplebuffered:portal2,min_processor_count,max_processor_count,cpu_level:portal2,VendorID,MinDeviceID,MaxDeviceID,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,MakeMeLast,Laptop:base,MinDxLevel:base,MaxDxLevel:base,DxLevel:base,CentroidHack:base,NoUserClipPlanes:base,PreferZPrepass:base,DisableShaderOptimizations:base,SuppressPixelShaderCentroidHackFixup:base,PreferTexturesInHWMemory:base,PreferHardwareSync:base,Unsupported:portal2,DefaultRes:portal2,DefaultResHeight:portal2,gpu_level:portal2,mat_antialias:portal2,mat_forceaniso:portal2,mat_grain_scale_override:portal2,mat_vsync:portal2,videoconfig_version:portal2
90,,,,,,,,,,,,,,,,,,,,,,90,90,90,0,0,0,,,0,0,,800,600,0,1,,1,1,
92,,,,,,,,,,,,,,,,,,,,,,90,92,92,0,0,0,,,0,0,,1024,768,0,1,,1,1,
95,,,,,,,,,,,,,,,,,,,,,,90,95,95,0,0,0,,,0,0,,1024,768,0,1,,1,1,
98,,,,,,,,,,,,,,,,,,,,,,98,98,98,0,0,1,,,0,0,,1280,1024,0,1,2,1,1,
100,,,,,,,,,,,,,,,,,,,,,,92,100,100,0,0,0,,,0,0,,1600,1200,0,1,4,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [0-1024),,,0,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1024-1536),,,1200,1800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1536-),,,1800,65535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,,140,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,,300,530,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [512-infinity),,,,,,530,65535,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_level_0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_1,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_2,,,,,,,,,,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Unknown,,,,,,,,,,,,,0x1002,0x0000,0xffff,,,,,1,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6970M,,,,,,,,,,,,,0x1002,0x6720,0x6720,,,,,,,,,,,,,,,,,,2560,1600,3,4,8,,,
AMD Radeon HD 6770M,,,,,,,,,,,,,0x1002,0x6740,0x6740,,,,,,,,,,,,,,,,,,1920,1200,2,2,4,,,
AMD Radeon HD 6750M,,,,,,,,,,,,,0x1002,0x6741,0x6741,,,,,,,,,,,,,,,,,,1920,1200,2,2,4,,,
AMD Radeon HD 6490M,,,,,,,,,,,,,0x1002,0x6760,0x6760,,,,,,,,,,,,,,,,,,1440,900,1,,4,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x6880,0x6880,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x6888,0x6889,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x6890,0x6890,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon HD 5870,,,,,,,,,,,,,0x1002,0x6898,0x6898,,,,,,,,,,,,,,,,,,2560,1600,3,4,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x6899,0x6899,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x689c,0x689d,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68a0,0x68a0,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
ATI Radeon HD 5750 ,,,,,,,,,,,,,0x1002,0x68a1,0x68a1,,,,,,,,,,,,,,,,,,2560,1600,3,2,8,,,
ATI Radeon HD 5770,,,,,,,,,,,,,0x1002,0x68a8,0x68a8,,,,,,,,,,,,,,,,,,2560,1600,3,2,8,,,
ATI Radeon X3000,,,,,,,,,,,,,0x1002,0x68a9,0x68a9,,,,,,,,,,,,,,,,,,1920,1200,3,2,8,,,
